,centrality
Colombia,0.76
Venezuela,0.72
Argentina,0.68
España,0.68
Veracruz,0.64
Bolivia,0.64
Mexico,0.64
Ecuador,0.6
Honduras,0.48
CDMX,0.48
Puebla,0.44
Panama,0.44
Guadalajara,0.44
Cuba,0.44
México,0.4
Oaxaca,0.36
argentina,0.28
Claudiashein,0.2
SantaFe,0.16
4T,0.12
Criptomonedas,0.12
vampipe,0.12
13Jun,0.08
Latinoamerica,0.08
cuba,0.04
ilegalidad,0.04
