,betweenness
MPguatemala,0.34722222222222215
jimmyporguate,0.25
jimmymoralesgt,0.10185185185185185
Galdamez_Kaibil,0.06018518518518519
GuatemalaGob,0.018518518518518517
sandrajovel6,0.0
relato_gt,0.0
SandraTorresGUA,0.0
EmisorasUnidas,0.0
AdrianSoto_EU,0.0
