,centrality
lopezobrador_,0.84
AristeguiOnline,0.24
GobiernoMX,0.24
ConsultaPara,0.2
georgesoros,0.2
Reforma,0.2
lopezdoriga,0.16
ferbelaunzaran,0.16
SCJN,0.16
Jackskinripper,0.16
LeonKrauze,0.16
DeniseMaerker,0.16
ClaudioXGG,0.16
HijasDeLaMx,0.12
Lizgottik,0.12
CarlosLoret,0.08
M_OlgaSCordero,0.08
adn40,0.08
DHSgov,0.08
nytimeses,0.08
FelizMiércoles,0.04
Milenio,0.04
ElFinanciero_Mx,0.04
DanielHabif,0.04
jorgeramosnews,0.04
Carloslopezjone,0.04
